+---------+------------------------------+---------------------+
| section | audit_name                   | audited_at          |
+---------+------------------------------+---------------------+
| audit   | 06_defiant_and_missing_items | 2026-05-24 15:33:11 |
+---------+------------------------------+---------------------+
+-------+--------------------------------------+-----------+-------+----------+----------+---------+---------+--------------+--------+------------+
| id    | Name                                 | minstatus | price | reqlevel | reclevel | classes | slots   | artifactflag | nodrop | attuneable |
| 50017 | Crude Defiant Chain Leggings         |         0 |  2103 |        0 |       10 |   33544 |  262144 |            0 |      1 |          1 |
| 50018 | Crude Defiant Chain Tunic            |         0 |  2337 |        0 |       10 |   33544 |  131072 |            0 |      1 |          1 |
| 50019 | Crude Defiant Leather Bracer         |         0 |  1242 |        0 |       10 |   16480 |    1536 |            0 |      1 |          1 |
| 50020 | Crude Defiant Leather Gloves         |         0 |  1380 |        0 |       10 |   16480 |    4096 |            0 |      1 |          1 |
| 50021 | Crude Defiant Leather Boots          |         0 |  1533 |        0 |       10 |   16480 |  524288 |            0 |      1 |          1 |
| 50022 | Crude Defiant Leather Cap            |         0 |  1704 |        0 |       10 |   16480 |       4 |            0 |      1 |          1 |
| 50023 | Crude Defiant Leather Sleeves        |         0 |  1893 |        0 |       10 |   16480 |     128 |            0 |      1 |          1 |
| 50024 | Crude Defiant Leather Trousers       |         0 |  2103 |        0 |       10 |   16480 |  262144 |            0 |      1 |          1 |
| 50025 | Crude Defiant Leather Tunic          |         0 |  2337 |        0 |       10 |   16480 |  131072 |            0 |      1 |          1 |
| 50026 | Crude Defiant Cloth Wristwrap        |         0 |  1242 |        0 |       10 |   15360 |    1536 |            0 |      1 |          1 |
| 50027 | Crude Defiant Cloth Gloves           |         0 |  1380 |        0 |       10 |   15360 |    4096 |            0 |      1 |          1 |
| 50028 | Crude Defiant Cloth Sandals          |         0 |  1533 |        0 |       10 |   15360 |  524288 |            0 |      1 |          1 |
| 50029 | Crude Defiant Cloth Cap              |         0 |  1704 |        0 |       10 |   15360 |       4 |            0 |      1 |          1 |
| 50030 | Crude Defiant Cloth Sleeves          |         0 |  1893 |        0 |       10 |   15360 |     128 |            0 |      1 |          1 |
| 50031 | Crude Defiant Cloth Pantaloons       |         0 |  2103 |        0 |       10 |   15360 |  262144 |            0 |      1 |          1 |
| 50032 | Crude Defiant Cloth Robe             |         0 |  2337 |        0 |       10 |   15360 |  131072 |            0 |      1 |          1 |
| 50033 | Simple Defiant Plate Bracer          |         0 |  1769 |        5 |       20 |     151 |    1536 |            0 |      1 |          1 |
| 50034 | Simple Defiant Plate Gauntlets       |         0 |  1966 |        5 |       20 |     151 |    4096 |            0 |      1 |          1 |
| 50035 | Simple Defiant Plate Boots           |         0 |  2184 |        5 |       20 |     151 |  524288 |            0 |      1 |          1 |
| 50036 | Simple Defiant Plate Helm            |         0 |  2427 |        5 |       20 |     151 |       4 |            0 |      1 |          1 |
| 50037 | Simple Defiant Plate Vambraces       |         0 |  2696 |        5 |       20 |     151 |     128 |            0 |      1 |          1 |
| 50038 | Simple Defiant Plate Greaves         |         0 |  2996 |        5 |       20 |     151 |  262144 |            0 |      1 |          1 |
| 50039 | Simple Defiant Breastplate           |         0 |  3329 |        5 |       20 |     151 |  131072 |            0 |      1 |          1 |
| 50040 | Simple Defiant Chain Bracer          |         0 |  1769 |        5 |       20 |   33544 |    1536 |            0 |      1 |          1 |
| 50041 | Simple Defiant Chain Gauntlets       |         0 |  1966 |        5 |       20 |   33544 |    4096 |            0 |      1 |          1 |
| 50042 | Simple Defiant Chain Boots           |         0 |  2184 |        5 |       20 |   33544 |  524288 |            0 |      1 |          1 |
| 50043 | Simple Defiant Chain Coif            |         0 |  2427 |        5 |       20 |   33544 |       4 |            0 |      1 |          1 |
| 50044 | Simple Defiant Chain Sleeves         |         0 |  2696 |        5 |       20 |   33544 |     128 |            0 |      1 |          1 |
| 50045 | Simple Defiant Chain Leggings        |         0 |  2996 |        5 |       20 |   33544 |  262144 |            0 |      1 |          1 |
| 50046 | Simple Defiant Chain Tunic           |         0 |  3329 |        5 |       20 |   33544 |  131072 |            0 |      1 |          1 |
| 50047 | Simple Defiant Leather Bracer        |         0 |  1769 |        5 |       20 |   16480 |    1536 |            0 |      1 |          1 |
| 50048 | Simple Defiant Leather Gloves        |         0 |  1966 |        5 |       20 |   16480 |    4096 |            0 |      1 |          1 |
| 50049 | Simple Defiant Leather Boots         |         0 |  2184 |        5 |       20 |   16480 |  524288 |            0 |      1 |          1 |
| 50050 | Simple Defiant Leather Cap           |         0 |  2427 |        5 |       20 |   16480 |       4 |            0 |      1 |          1 |
| 50051 | Simple Defiant Leather Sleeves       |         0 |  2696 |        5 |       20 |   16480 |     128 |            0 |      1 |          1 |
| 50052 | Simple Defiant Leather Trousers      |         0 |  2996 |        5 |       20 |   16480 |  262144 |            0 |      1 |          1 |
| 50053 | Simple Defiant Leather Tunic         |         0 |  3329 |        5 |       20 |   16480 |  131072 |            0 |      1 |          1 |
| 50054 | Simple Defiant Cloth Wristwrap       |         0 |  1769 |        5 |       20 |   15360 |    1536 |            0 |      1 |          1 |
| 50055 | Simple Defiant Cloth Gloves          |         0 |  1966 |        5 |       20 |   15360 |    4096 |            0 |      1 |          1 |
| 50056 | Simple Defiant Cloth Sandals         |         0 |  2184 |        5 |       20 |   15360 |  524288 |            0 |      1 |          1 |
| 50057 | Simple Defiant Cloth Cap             |         0 |  2427 |        5 |       20 |   15360 |       4 |            0 |      1 |          1 |
| 50058 | Simple Defiant Cloth Sleeves         |         0 |  2696 |        5 |       20 |   15360 |     128 |            0 |      1 |          1 |
| 50059 | Simple Defiant Cloth Pantaloons      |         0 |  2996 |        5 |       20 |   15360 |  262144 |            0 |      1 |          1 |
| 50060 | Simple Defiant Cloth Robe            |         0 |  3329 |        5 |       20 |   15360 |  131072 |            0 |      1 |          1 |
| 50061 | Rough Defiant Plate Bracer           |         0 |  2627 |       15 |       30 |     151 |    1536 |            0 |      1 |          1 |
| 50062 | Rough Defiant Plate Gauntlets        |         0 |  2919 |       15 |       30 |     151 |    4096 |            0 |      1 |          1 |
| 50063 | Rough Defiant Plate Boots            |         0 |  3243 |       15 |       30 |     151 |  524288 |            0 |      1 |          1 |
| 50064 | Rough Defiant Plate Helm             |         0 |  3603 |       15 |       30 |     151 |       4 |            0 |      1 |          1 |
| 50065 | Rough Defiant Plate Vambraces        |         0 |  4004 |       15 |       30 |     151 |     128 |            0 |      1 |          1 |
| 50066 | Rough Defiant Plate Greaves          |         0 |  4449 |       15 |       30 |     151 |  262144 |            0 |      1 |          1 |
| 50067 | Rough Defiant Breastplate            |         0 |  4943 |       15 |       30 |     151 |  131072 |            0 |      1 |          1 |
| 50068 | Rough Defiant Chain Bracer           |         0 |  2627 |       15 |       30 |   33544 |    1536 |            0 |      1 |          1 |
| 50069 | Rough Defiant Chain Gauntlets        |         0 |  2919 |       15 |       30 |   33544 |    4096 |            0 |      1 |          1 |
| 50070 | Rough Defiant Chain Boots            |         0 |  3243 |       15 |       30 |   33544 |  524288 |            0 |      1 |          1 |
| 50071 | Rough Defiant Chain Coif             |         0 |  3603 |       15 |       30 |   33544 |       4 |            0 |      1 |          1 |
| 50072 | Rough Defiant Chain Sleeves          |         0 |  4004 |       15 |       30 |   33544 |     128 |            0 |      1 |          1 |
| 50073 | Rough Defiant Chain Leggings         |         0 |  4449 |       15 |       30 |   33544 |  262144 |            0 |      1 |          1 |
| 50074 | Rough Defiant Chain Tunic            |         0 |  4943 |       15 |       30 |   33544 |  131072 |            0 |      1 |          1 |
| 50075 | Rough Defiant Leather Bracer         |         0 |  2627 |       15 |       30 |   16480 |    1536 |            0 |      1 |          1 |
| 50076 | Rough Defiant Leather Gloves         |         0 |  2919 |       15 |       30 |   16480 |    4096 |            0 |      1 |          1 |
| 50077 | Rough Defiant Leather Boots          |         0 |  3243 |       15 |       30 |   16480 |  524288 |            0 |      1 |          1 |
| 50078 | Rough Defiant Leather Cap            |         0 |  3603 |       15 |       30 |   16480 |       4 |            0 |      1 |          1 |
| 50079 | Rough Defiant Leather Sleeves        |         0 |  4004 |       15 |       30 |   16480 |     128 |            0 |      1 |          1 |
| 50080 | Rough Defiant Leather Trousers       |         0 |  4449 |       15 |       30 |   16480 |  262144 |            0 |      1 |          1 |
| 50081 | Rough Defiant Leather Tunic          |         0 |  4943 |       15 |       30 |   16480 |  131072 |            0 |      1 |          1 |
| 50082 | Rough Defiant Cloth Wristwrap        |         0 |  2627 |       15 |       30 |   15360 |    1536 |            0 |      1 |          1 |
| 50083 | Rough Defiant Cloth Gloves           |         0 |  2919 |       15 |       30 |   15360 |    4096 |            0 |      1 |          1 |
| 50084 | Rough Defiant Cloth Sandals          |         0 |  3243 |       15 |       30 |   15360 |  524288 |            0 |      1 |          1 |
| 50085 | Rough Defiant Cloth Cap              |         0 |  3603 |       15 |       30 |   15360 |       4 |            0 |      1 |          1 |
| 50086 | Rough Defiant Cloth Sleeves          |         0 |  4004 |       15 |       30 |   15360 |     128 |            0 |      1 |          1 |
| 50087 | Rough Defiant Cloth Pantaloons       |         0 |  4449 |       15 |       30 |   15360 |  262144 |            0 |      1 |          1 |
| 50088 | Rough Defiant Cloth Robe             |         0 |  4943 |       15 |       30 |   15360 |  131072 |            0 |      1 |          1 |
| 50089 | Ornate Defiant Plate Bracer          |         0 |  3361 |       26 |       40 |     151 |    1536 |            0 |      1 |          1 |
| 50090 | Ornate Defiant Plate Gauntlets       |         0 |  3734 |       26 |       40 |     151 |    4096 |            0 |      1 |          1 |
| 50091 | Ornate Defiant Plate Boots           |         0 |  4149 |       26 |       40 |     151 |  524288 |            0 |      1 |          1 |
| 50092 | Ornate Defiant Plate Helm            |         0 |  4610 |       26 |       40 |     151 |       4 |            0 |      1 |          1 |
| 50093 | Ornate Defiant Plate Vambraces       |         0 |  5122 |       26 |       40 |     151 |     128 |            0 |      1 |          1 |
| 50094 | Ornate Defiant Plate Greaves         |         0 |  5691 |       26 |       40 |     151 |  262144 |            0 |      1 |          1 |
| 50095 | Ornate Defiant Breastplate           |         0 |  6324 |       26 |       40 |     151 |  131072 |            0 |      1 |          1 |
| 50096 | Ornate Defiant Chain Bracer          |         0 |  3361 |       26 |       40 |   33544 |    1536 |            0 |      1 |          1 |
| 50097 | Ornate Defiant Chain Gauntlets       |         0 |  3734 |       26 |       40 |   33544 |    4096 |            0 |      1 |          1 |
| 50098 | Ornate Defiant Chain Boots           |         0 |  4149 |       26 |       40 |   33544 |  524288 |            0 |      1 |          1 |
| 50099 | Ornate Defiant Chain Coif            |         0 |  4610 |       26 |       40 |   33544 |       4 |            0 |      1 |          1 |
| 50100 | Ornate Defiant Chain Sleeves         |         0 |  5122 |       26 |       40 |   33544 |     128 |            0 |      1 |          1 |
| 50101 | Ornate Defiant Chain Leggings        |         0 |  5691 |       26 |       40 |   33544 |  262144 |            0 |      1 |          1 |
| 50102 | Ornate Defiant Chain Tunic           |         0 |  6324 |       26 |       40 |   33544 |  131072 |            0 |      1 |          1 |
| 50103 | Ornate Defiant Leather Bracer        |         0 |  3361 |       26 |       40 |   16480 |    1536 |            0 |      1 |          1 |
| 50104 | Ornate Defiant Leather Gloves        |         0 |  3734 |       26 |       40 |   16480 |    4096 |            0 |      1 |          1 |
| 50105 | Ornate Defiant Leather Boots         |         0 |  4149 |       26 |       40 |   16480 |  524288 |            0 |      1 |          1 |
| 50106 | Ornate Defiant Leather Cap           |         0 |  4610 |       26 |       40 |   16480 |       4 |            0 |      1 |          1 |
| 50107 | Ornate Defiant Leather Sleeves       |         0 |  5122 |       26 |       40 |   16480 |     128 |            0 |      1 |          1 |
| 50108 | Ornate Defiant Leather Trousers      |         0 |  5691 |       26 |       40 |   16480 |  262144 |            0 |      1 |          1 |
| 50109 | Ornate Defiant Leather Tunic         |         0 |  6324 |       26 |       40 |   16480 |  131072 |            0 |      1 |          1 |
| 50110 | Ornate Defiant Cloth Wristwrap       |         0 |  3361 |       26 |       40 |   15360 |    1536 |            0 |      1 |          1 |
| 50111 | Ornate Defiant Cloth Gloves          |         0 |  3734 |       26 |       40 |   15360 |    4096 |            0 |      1 |          1 |
| 50112 | Ornate Defiant Cloth Sandals         |         0 |  4149 |       26 |       40 |   15360 |  524288 |            0 |      1 |          1 |
| 50113 | Ornate Defiant Cloth Cap             |         0 |  4610 |       26 |       40 |   15360 |       4 |            0 |      1 |          1 |
| 50114 | Ornate Defiant Cloth Sleeves         |         0 |  5122 |       26 |       40 |   15360 |     128 |            0 |      1 |          1 |
| 50115 | Ornate Defiant Cloth Pantaloons      |         0 |  5691 |       26 |       40 |   15360 |  262144 |            0 |      1 |          1 |
| 50116 | Ornate Defiant Cloth Robe            |         0 |  6324 |       26 |       40 |   15360 |  131072 |            0 |      1 |          1 |
| 50117 | Flawed Defiant Plate Bracer          |         0 |  4487 |       37 |       50 |     151 |    1536 |            0 |      1 |          1 |
| 50118 | Flawed Defiant Plate Gauntlets       |         0 |  4985 |       37 |       50 |     151 |    4096 |            0 |      1 |          1 |
| 50119 | Flawed Defiant Plate Boots           |         0 |  5539 |       37 |       50 |     151 |  524288 |            0 |      1 |          1 |
| 50120 | Flawed Defiant Plate Helm            |         0 |  6155 |       37 |       50 |     151 |       4 |            0 |      1 |          1 |
| 50121 | Flawed Defiant Plate Vambraces       |         0 |  6839 |       37 |       50 |     151 |     128 |            0 |      1 |          1 |
| 50122 | Flawed Defiant Plate Greaves         |         0 |  7599 |       37 |       50 |     151 |  262144 |            0 |      1 |          1 |
| 50123 | Flawed Defiant Breastplate           |         0 |  8443 |       37 |       50 |     151 |  131072 |            0 |      1 |          1 |
| 50124 | Flawed Defiant Chain Bracer          |         0 |  4487 |       37 |       50 |   33544 |    1536 |            0 |      1 |          1 |
| 50125 | Flawed Defiant Chain Gauntlets       |         0 |  4985 |       37 |       50 |   33544 |    4096 |            0 |      1 |          1 |
| 50126 | Flawed Defiant Chain Boots           |         0 |  5539 |       37 |       50 |   33544 |  524288 |            0 |      1 |          1 |
| 50127 | Flawed Defiant Chain Coif            |         0 |  6155 |       37 |       50 |   33544 |       4 |            0 |      1 |          1 |
| 50128 | Flawed Defiant Chain Sleeves         |         0 |  6839 |       37 |       50 |   33544 |     128 |            0 |      1 |          1 |
| 50129 | Flawed Defiant Chain Leggings        |         0 |  7599 |       37 |       50 |   33544 |  262144 |            0 |      1 |          1 |
| 50130 | Flawed Defiant Chain Tunic           |         0 |  8443 |       37 |       50 |   33544 |  131072 |            0 |      1 |          1 |
| 50131 | Flawed Defiant Leather Bracer        |         0 |  4487 |       37 |       50 |   16480 |    1536 |            0 |      1 |          1 |
| 50132 | Flawed Defiant Leather Gloves        |         0 |  4985 |       37 |       50 |   16480 |    4096 |            0 |      1 |          1 |
| 50133 | Flawed Defiant Leather Boots         |         0 |  5539 |       37 |       50 |   16480 |  524288 |            0 |      1 |          1 |
| 50134 | Flawed Defiant Leather Cap           |         0 |  6155 |       37 |       50 |   16480 |       4 |            0 |      1 |          1 |
| 50135 | Flawed Defiant Leather Sleeves       |         0 |  6839 |       37 |       50 |   16480 |     128 |            0 |      1 |          1 |
| 50136 | Flawed Defiant Leather Trousers      |         0 |  7599 |       37 |       50 |   16480 |  262144 |            0 |      1 |          1 |
| 50137 | Flawed Defiant Leather Tunic         |         0 |  8443 |       37 |       50 |   16480 |  131072 |            0 |      1 |          1 |
| 50138 | Flawed Defiant Silk Wristwrap        |         0 |  4487 |       37 |       50 |   15360 |    1536 |            0 |      1 |          1 |
| 50139 | Flawed Defiant Silk Gloves           |         0 |  4985 |       37 |       50 |   15360 |    4096 |            0 |      1 |          1 |
| 50140 | Flawed Defiant Silk Sandals          |         0 |  5539 |       37 |       50 |   15360 |  524288 |            0 |      1 |          1 |
| 50141 | Flawed Defiant Silk Cap              |         0 |  6155 |       37 |       50 |   15360 |       4 |            0 |      1 |          1 |
| 50142 | Flawed Defiant Silk Sleeves          |         0 |  6839 |       37 |       50 |   15360 |     128 |            0 |      1 |          1 |
| 50143 | Flawed Defiant Silk Pantaloons       |         0 |  7599 |       37 |       50 |   15360 |  262144 |            0 |      1 |          1 |
| 50144 | Flawed Defiant Silk Robe             |         0 |  8443 |       37 |       50 |   15360 |  131072 |            0 |      1 |          1 |
| 50145 | Intricate Defiant Plate Bracer       |         0 |  5298 |       48 |       60 |     151 |    1536 |            0 |      1 |          1 |
| 50146 | Intricate Defiant Plate Wristguard   |         0 |  5298 |       48 |       60 |     151 |    1536 |            0 |      1 |          1 |
| 50147 | Intricate Defiant Plate Wristband    |         0 |  5298 |       48 |       60 |     151 |    1536 |            0 |      1 |          1 |
| 50148 | Intricate Defiant Plate Gauntlets    |         0 |  5887 |       48 |       60 |     151 |    4096 |            0 |      1 |          1 |
| 50149 | Intricate Defiant Plate Boots        |         0 |  6541 |       48 |       60 |     151 |  524288 |            0 |      1 |          1 |
| 50150 | Intricate Defiant Plate Helm         |         0 |  7268 |       48 |       60 |     151 |       4 |            0 |      1 |          1 |
| 50151 | Intricate Defiant Plate Vambraces    |         0 |  8075 |       48 |       60 |     151 |     128 |            0 |      1 |          1 |
| 50152 | Intricate Defiant Plate Greaves      |         0 |  8973 |       48 |       60 |     151 |  262144 |            0 |      1 |          1 |
| 50153 | Intricate Defiant Breastplate        |         0 |  9970 |       48 |       60 |     151 |  131072 |            0 |      1 |          1 |
| 50154 | Intricate Defiant Chain Bracer       |         0 |  5298 |       48 |       60 |   33544 |    1536 |            0 |      1 |          1 |
| 50155 | Intricate Defiant Chain Wristguard   |         0 |  5298 |       48 |       60 |   33544 |    1536 |            0 |      1 |          1 |
| 50156 | Intricate Defiant Chain Gauntlets    |         0 |  5887 |       48 |       60 |   33544 |    4096 |            0 |      1 |          1 |
| 50157 | Intricate Defiant Chain Boots        |         0 |  6541 |       48 |       60 |   33544 |  524288 |            0 |      1 |          1 |
| 50158 | Intricate Defiant Chain Coif         |         0 |  7268 |       48 |       60 |   33544 |       4 |            0 |      1 |          1 |
| 50159 | Intricate Defiant Chain Sleeves      |         0 |  8075 |       48 |       60 |   33544 |     128 |            0 |      1 |          1 |
| 50160 | Intricate Defiant Chain Leggings     |         0 |  8973 |       48 |       60 |   33544 |  262144 |            0 |      1 |          1 |
| 50161 | Intricate Defiant Chain Tunic        |         0 |  9970 |       48 |       60 |   33544 |  131072 |            0 |      1 |          1 |
| 50162 | Intricate Defiant Leather Bracer     |         0 |  5298 |       48 |       60 |   16480 |    1536 |            0 |      1 |          1 |
| 50163 | Intricate Defiant Leather Wristguard |         0 |  5298 |       48 |       60 |   16480 |    1536 |            0 |      1 |          1 |
| 50164 | Intricate Defiant Leather Gloves     |         0 |  5887 |       48 |       60 |   16480 |    4096 |            0 |      1 |          1 |
| 50165 | Intricate Defiant Leather Boots      |         0 |  6541 |       48 |       60 |   16480 |  524288 |            0 |      1 |          1 |
| 50166 | Intricate Defiant Leather Cap        |         0 |  7268 |       48 |       60 |   16480 |       4 |            0 |      1 |          1 |
| 50167 | Intricate Defiant Leather Sleeves    |         0 |  8075 |       48 |       60 |   16480 |     128 |            0 |      1 |          1 |
| 50168 | Intricate Defiant Leather Trousers   |         0 |  8973 |       48 |       60 |   16480 |  262144 |            0 |      1 |          1 |
| 50169 | Intricate Defiant Leather Tunic      |         0 |  9970 |       48 |       60 |   16480 |  131072 |            0 |      1 |          1 |
| 50170 | Intricate Defiant Silk Wristguard    |         0 |  5298 |       48 |       60 |   15360 |    1536 |            0 |      1 |          1 |
| 50171 | Intricate Defiant Silk Wristband     |         0 |  5298 |       48 |       60 |   15360 |    1536 |            0 |      1 |          1 |
| 50172 | Intricate Defiant Silk Wristwrap     |         0 |  5298 |       48 |       60 |   15360 |    1536 |            0 |      1 |          1 |
| 50173 | Intricate Defiant Silk Gloves        |         0 |  5887 |       48 |       60 |   15360 |    4096 |            0 |      1 |          1 |
| 50174 | Intricate Defiant Silk Sandals       |         0 |  6541 |       48 |       60 |   15360 |  524288 |            0 |      1 |          1 |
| 50175 | Intricate Defiant Silk Cap           |         0 |  7268 |       48 |       60 |   15360 |       4 |            0 |      1 |          1 |
| 50176 | Intricate Defiant Silk Sleeves       |         0 |  8075 |       48 |       60 |   15360 |     128 |            0 |      1 |          1 |
| 50177 | Intricate Defiant Silk Pantaloons    |         0 |  8973 |       48 |       60 |   15360 |  262144 |            0 |      1 |          1 |
| 50178 | Intricate Defiant Silk Robe          |         0 |  9970 |       48 |       60 |   15360 |  131072 |            0 |      1 |          1 |
| 50179 | Elaborate Defiant Plate Bracer       |         0 |  6257 |       59 |       70 |     151 |    1536 |            0 |      1 |          1 |
| 50180 | Elaborate Defiant Plate Wristguard   |         0 |  6257 |       59 |       70 |     151 |    1536 |            0 |      1 |          1 |
| 50181 | Elaborate Defiant Plate Wristband    |         0 |  6257 |       59 |       70 |     151 |    1536 |            0 |      1 |          1 |
| 50182 | Elaborate Defiant Plate Gauntlets    |         0 |  6952 |       59 |       70 |     151 |    4096 |            0 |      1 |          1 |
| 50183 | Elaborate Defiant Plate Boots        |         0 |  7725 |       59 |       70 |     151 |  524288 |            0 |      1 |          1 |
| 50184 | Elaborate Defiant Plate Helm         |         0 |  8583 |       59 |       70 |     151 |       4 |            0 |      1 |          1 |
| 50185 | Elaborate Defiant Plate Vambraces    |         0 |  9537 |       59 |       70 |     151 |     128 |            0 |      1 |          1 |
| 50186 | Elaborate Defiant Plate Greaves      |         0 | 10597 |       59 |       70 |     151 |  262144 |            0 |      1 |          1 |
| 50187 | Elaborate Defiant Breastplate        |         0 | 11774 |       59 |       70 |     151 |  131072 |            0 |      1 |          1 |
| 50188 | Elaborate Defiant Chain Bracer       |         0 |  6257 |       59 |       70 |   33544 |    1536 |            0 |      1 |          1 |
| 50189 | Elaborate Defiant Chain Wristguard   |         0 |  6257 |       59 |       70 |   33544 |    1536 |            0 |      1 |          1 |
| 50190 | Elaborate Defiant Chain Gauntlets    |         0 |  6952 |       59 |       70 |   33544 |    4096 |            0 |      1 |          1 |
| 50191 | Elaborate Defiant Chain Boots        |         0 |  7725 |       59 |       70 |   33544 |  524288 |            0 |      1 |          1 |
| 50192 | Elaborate Defiant Chain Coif         |         0 |  8583 |       59 |       70 |   33544 |       4 |            0 |      1 |          1 |
| 50193 | Elaborate Defiant Chain Sleeves      |         0 |  9537 |       59 |       70 |   33544 |     128 |            0 |      1 |          1 |
| 50194 | Elaborate Defiant Chain Leggings     |         0 | 10597 |       59 |       70 |   33544 |  262144 |            0 |      1 |          1 |
| 50195 | Elaborate Defiant Chain Tunic        |         0 | 11774 |       59 |       70 |   33544 |  131072 |            0 |      1 |          1 |
| 50196 | Elaborate Defiant Leather Bracer     |         0 |  6257 |       59 |       70 |   16480 |    1536 |            0 |      1 |          1 |
| 50197 | Elaborate Defiant Leather Wristguard |         0 |  6257 |       59 |       70 |   16480 |    1536 |            0 |      1 |          1 |
| 50198 | Elaborate Defiant Leather Gloves     |         0 |  6952 |       59 |       70 |   16480 |    4096 |            0 |      1 |          1 |
| 50199 | Elaborate Defiant Leather Boots      |         0 |  7725 |       59 |       70 |   16480 |  524288 |            0 |      1 |          1 |
| 50200 | Elaborate Defiant Leather Cap        |         0 |  8583 |       59 |       70 |   16480 |       4 |            0 |      1 |          1 |
| 50201 | Elaborate Defiant Leather Sleeves    |         0 |  9537 |       59 |       70 |   16480 |     128 |            0 |      1 |          1 |
| 50202 | Elaborate Defiant Leather Trousers   |         0 | 10597 |       59 |       70 |   16480 |  262144 |            0 |      1 |          1 |
| 50203 | Elaborate Defiant Leather Tunic      |         0 | 11774 |       59 |       70 |   16480 |  131072 |            0 |      1 |          1 |
| 50204 | Elaborate Defiant Silk Wristguard    |         0 |  6257 |       59 |       70 |   15360 |    1536 |            0 |      1 |          1 |
| 50205 | Elaborate Defiant Silk Wristband     |         0 |  6257 |       59 |       70 |   15360 |    1536 |            0 |      1 |          1 |
| 50206 | Elaborate Defiant Silk Wristwrap     |         0 |  6257 |       59 |       70 |   15360 |    1536 |            0 |      1 |          1 |
| 50207 | Elaborate Defiant Silk Gloves        |         0 |  6952 |       59 |       70 |   15360 |    4096 |            0 |      1 |          1 |
| 50208 | Elaborate Defiant Silk Sandals       |         0 |  7725 |       59 |       70 |   15360 |  524288 |            0 |      1 |          1 |
| 50209 | Elaborate Defiant Silk Cap           |         0 |  8583 |       59 |       70 |   15360 |       4 |            0 |      1 |          1 |
| 50210 | Elaborate Defiant Silk Sleeves       |         0 |  9537 |       59 |       70 |   15360 |     128 |            0 |      1 |          1 |
| 50211 | Elaborate Defiant Silk Pantaloons    |         0 | 10597 |       59 |       70 |   15360 |  262144 |            0 |      1 |          1 |
| 50212 | Elaborate Defiant Silk Robe          |         0 | 11774 |       59 |       70 |   15360 |  131072 |            0 |      1 |          1 |
| 50213 | Elegant Defiant Plate Bracer         |         0 |  7373 |       70 |       80 |     151 |    1536 |            0 |      1 |          1 |
| 50214 | Elegant Defiant Plate Wristguard     |         0 |  7373 |       70 |       80 |     151 |    1536 |            0 |      1 |          1 |
| 50215 | Elegant Defiant Plate Wristband      |         0 |  7373 |       70 |       80 |     151 |    1536 |            0 |      1 |          1 |
| 50216 | Elegant Defiant Plate Gauntlets      |         0 |  8192 |       70 |       80 |     151 |    4096 |            0 |      1 |          1 |
| 50217 | Elegant Defiant Plate Boots          |         0 |  9102 |       70 |       80 |     151 |  524288 |            0 |      1 |          1 |
| 50218 | Elegant Defiant Plate Helm           |         0 | 10113 |       70 |       80 |     151 |       4 |            0 |      1 |          1 |
| 50219 | Elegant Defiant Plate Vambraces      |         0 | 11237 |       70 |       80 |     151 |     128 |            0 |      1 |          1 |
