+--------------------+-----------------------------------------------------------------------------------------------------+
| section            | note                                                                                                |
+--------------------+-----------------------------------------------------------------------------------------------------+
| defiant_audit_note | This audit intentionally uses conservative schema columns so it works on the restored MSR baseline. |
+--------------------+-----------------------------------------------------------------------------------------------------+
+--------------------------+-------------------+----------------------+-------------+----------------+
| section                  | COLUMN_NAME       | COLUMN_TYPE          | IS_NULLABLE | COLUMN_DEFAULT |
+--------------------------+-------------------+----------------------+-------------+----------------+
| lootdrop_entries_columns | lootdrop_id       | int(11) unsigned     | NO          | 0              |
| lootdrop_entries_columns | item_id           | int(11)              | NO          | 0              |
| lootdrop_entries_columns | item_charges      | smallint(2) unsigned | NO          | 1              |
| lootdrop_entries_columns | equip_item        | tinyint(2) unsigned  | NO          | 0              |
| lootdrop_entries_columns | chance            | float                | NO          | 1              |
| lootdrop_entries_columns | disabled_chance   | float                | NO          | 0              |
| lootdrop_entries_columns | trivial_min_level | smallint(5) unsigned | NO          | 0              |
| lootdrop_entries_columns | trivial_max_level | smallint(5) unsigned | NO          | 0              |
| lootdrop_entries_columns | multiplier        | tinyint(2) unsigned  | NO          | 1              |
| lootdrop_entries_columns | npc_min_level     | smallint(5) unsigned | NO          | 0              |
| lootdrop_entries_columns | npc_max_level     | smallint(5) unsigned | NO          | 0              |
+--------------------------+-------------------+----------------------+-------------+----------------+
+---------------------------+--------------+---------------------+-------------+----------------+
| section                   | COLUMN_NAME  | COLUMN_TYPE         | IS_NULLABLE | COLUMN_DEFAULT |
+---------------------------+--------------+---------------------+-------------+----------------+
| loottable_entries_columns | loottable_id | int(11) unsigned    | NO          | 0              |
| loottable_entries_columns | lootdrop_id  | int(11) unsigned    | NO          | 0              |
| loottable_entries_columns | multiplier   | tinyint(2) unsigned | NO          | 1              |
| loottable_entries_columns | droplimit    | tinyint(2) unsigned | NO          | 0              |
| loottable_entries_columns | mindrop      | tinyint(2) unsigned | NO          | 0              |
| loottable_entries_columns | probability  | float               | NO          | 100            |
+---------------------------+--------------+---------------------+-------------+----------------+
+----------------------+------------------------+----------------------+-------------+----------------+
| section              | COLUMN_NAME            | COLUMN_TYPE          | IS_NULLABLE | COLUMN_DEFAULT |
+----------------------+------------------------+----------------------+-------------+----------------+
| merchantlist_columns | merchantid             | int(11)              | NO          | 0              |
| merchantlist_columns | slot                   | int(11) unsigned     | NO          | 0              |
| merchantlist_columns | item                   | int(11)              | NO          | 0              |
| merchantlist_columns | faction_required       | smallint(6)          | NO          | -100           |
| merchantlist_columns | level_required         | tinyint(3) unsigned  | NO          | 0              |
| merchantlist_columns | min_status             | tinyint(3) unsigned  | NO          | 0              |
| merchantlist_columns | max_status             | tinyint(3) unsigned  | NO          | 255            |
| merchantlist_columns | alt_currency_cost      | smallint(5) unsigned | NO          | 0              |
| merchantlist_columns | classes_required       | int(11)              | NO          | 65535          |
| merchantlist_columns | probability            | int(3)               | NO          | 100            |
| merchantlist_columns | bucket_name            | varchar(100)         | NO          | ''             |
| merchantlist_columns | bucket_value           | varchar(100)         | NO          | ''             |
| merchantlist_columns | bucket_comparison      | tinyint(3) unsigned  | YES         | 0              |
| merchantlist_columns | min_expansion          | tinyint(4)           | NO          | -1             |
| merchantlist_columns | max_expansion          | tinyint(4)           | NO          | -1             |
| merchantlist_columns | content_flags          | varchar(100)         | YES         | NULL           |
| merchantlist_columns | content_flags_disabled | varchar(100)         | YES         | NULL           |
+----------------------+------------------------+----------------------+-------------+----------------+
+--------------------+-------------+
| section            | count_value |
+--------------------+-------------+
| defiant_item_count |         417 |
+--------------------+-------------+
+----------------------+-------+--------------------------------------+----------+---------+-------+---------+----------+----------+--------+--------+
| section              | id    | Name                                 | itemtype | classes | races | slots   | reqlevel | reclevel | nodrop | norent |
| defiant_items_sample | 50038 | Simple Defiant Plate Greaves         |       10 |     151 | 65535 |  262144 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50039 | Simple Defiant Breastplate           |       10 |     151 | 65535 |  131072 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50040 | Simple Defiant Chain Bracer          |       10 |   33544 | 65535 |    1536 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50041 | Simple Defiant Chain Gauntlets       |       10 |   33544 | 65535 |    4096 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50042 | Simple Defiant Chain Boots           |       10 |   33544 | 65535 |  524288 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50043 | Simple Defiant Chain Coif            |       10 |   33544 | 65535 |       4 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50044 | Simple Defiant Chain Sleeves         |       10 |   33544 | 65535 |     128 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50045 | Simple Defiant Chain Leggings        |       10 |   33544 | 65535 |  262144 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50046 | Simple Defiant Chain Tunic           |       10 |   33544 | 65535 |  131072 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50047 | Simple Defiant Leather Bracer        |       10 |   16480 | 65535 |    1536 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50048 | Simple Defiant Leather Gloves        |       10 |   16480 | 65535 |    4096 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50049 | Simple Defiant Leather Boots         |       10 |   16480 | 65535 |  524288 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50050 | Simple Defiant Leather Cap           |       10 |   16480 | 65535 |       4 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50051 | Simple Defiant Leather Sleeves       |       10 |   16480 | 65535 |     128 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50052 | Simple Defiant Leather Trousers      |       10 |   16480 | 65535 |  262144 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50053 | Simple Defiant Leather Tunic         |       10 |   16480 | 65535 |  131072 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50054 | Simple Defiant Cloth Wristwrap       |       10 |   15360 | 65535 |    1536 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50055 | Simple Defiant Cloth Gloves          |       10 |   15360 | 65535 |    4096 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50056 | Simple Defiant Cloth Sandals         |       10 |   15360 | 65535 |  524288 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50057 | Simple Defiant Cloth Cap             |       10 |   15360 | 65535 |       4 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50058 | Simple Defiant Cloth Sleeves         |       10 |   15360 | 65535 |     128 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50059 | Simple Defiant Cloth Pantaloons      |       10 |   15360 | 65535 |  262144 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50060 | Simple Defiant Cloth Robe            |       10 |   15360 | 65535 |  131072 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50061 | Rough Defiant Plate Bracer           |       10 |     151 | 65535 |    1536 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50062 | Rough Defiant Plate Gauntlets        |       10 |     151 | 65535 |    4096 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50063 | Rough Defiant Plate Boots            |       10 |     151 | 65535 |  524288 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50064 | Rough Defiant Plate Helm             |       10 |     151 | 65535 |       4 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50065 | Rough Defiant Plate Vambraces        |       10 |     151 | 65535 |     128 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50066 | Rough Defiant Plate Greaves          |       10 |     151 | 65535 |  262144 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50067 | Rough Defiant Breastplate            |       10 |     151 | 65535 |  131072 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50068 | Rough Defiant Chain Bracer           |       10 |   33544 | 65535 |    1536 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50069 | Rough Defiant Chain Gauntlets        |       10 |   33544 | 65535 |    4096 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50070 | Rough Defiant Chain Boots            |       10 |   33544 | 65535 |  524288 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50071 | Rough Defiant Chain Coif             |       10 |   33544 | 65535 |       4 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50072 | Rough Defiant Chain Sleeves          |       10 |   33544 | 65535 |     128 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50073 | Rough Defiant Chain Leggings         |       10 |   33544 | 65535 |  262144 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50074 | Rough Defiant Chain Tunic            |       10 |   33544 | 65535 |  131072 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50075 | Rough Defiant Leather Bracer         |       10 |   16480 | 65535 |    1536 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50076 | Rough Defiant Leather Gloves         |       10 |   16480 | 65535 |    4096 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50077 | Rough Defiant Leather Boots          |       10 |   16480 | 65535 |  524288 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50078 | Rough Defiant Leather Cap            |       10 |   16480 | 65535 |       4 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50079 | Rough Defiant Leather Sleeves        |       10 |   16480 | 65535 |     128 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50080 | Rough Defiant Leather Trousers       |       10 |   16480 | 65535 |  262144 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50081 | Rough Defiant Leather Tunic          |       10 |   16480 | 65535 |  131072 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50082 | Rough Defiant Cloth Wristwrap        |       10 |   15360 | 65535 |    1536 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50083 | Rough Defiant Cloth Gloves           |       10 |   15360 | 65535 |    4096 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50084 | Rough Defiant Cloth Sandals          |       10 |   15360 | 65535 |  524288 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50085 | Rough Defiant Cloth Cap              |       10 |   15360 | 65535 |       4 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50086 | Rough Defiant Cloth Sleeves          |       10 |   15360 | 65535 |     128 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50087 | Rough Defiant Cloth Pantaloons       |       10 |   15360 | 65535 |  262144 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50088 | Rough Defiant Cloth Robe             |       10 |   15360 | 65535 |  131072 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50089 | Ornate Defiant Plate Bracer          |       10 |     151 | 65535 |    1536 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50090 | Ornate Defiant Plate Gauntlets       |       10 |     151 | 65535 |    4096 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50091 | Ornate Defiant Plate Boots           |       10 |     151 | 65535 |  524288 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50092 | Ornate Defiant Plate Helm            |       10 |     151 | 65535 |       4 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50093 | Ornate Defiant Plate Vambraces       |       10 |     151 | 65535 |     128 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50094 | Ornate Defiant Plate Greaves         |       10 |     151 | 65535 |  262144 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50095 | Ornate Defiant Breastplate           |       10 |     151 | 65535 |  131072 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50096 | Ornate Defiant Chain Bracer          |       10 |   33544 | 65535 |    1536 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50097 | Ornate Defiant Chain Gauntlets       |       10 |   33544 | 65535 |    4096 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50098 | Ornate Defiant Chain Boots           |       10 |   33544 | 65535 |  524288 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50099 | Ornate Defiant Chain Coif            |       10 |   33544 | 65535 |       4 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50100 | Ornate Defiant Chain Sleeves         |       10 |   33544 | 65535 |     128 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50101 | Ornate Defiant Chain Leggings        |       10 |   33544 | 65535 |  262144 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50102 | Ornate Defiant Chain Tunic           |       10 |   33544 | 65535 |  131072 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50103 | Ornate Defiant Leather Bracer        |       10 |   16480 | 65535 |    1536 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50104 | Ornate Defiant Leather Gloves        |       10 |   16480 | 65535 |    4096 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50105 | Ornate Defiant Leather Boots         |       10 |   16480 | 65535 |  524288 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50106 | Ornate Defiant Leather Cap           |       10 |   16480 | 65535 |       4 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50107 | Ornate Defiant Leather Sleeves       |       10 |   16480 | 65535 |     128 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50108 | Ornate Defiant Leather Trousers      |       10 |   16480 | 65535 |  262144 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50109 | Ornate Defiant Leather Tunic         |       10 |   16480 | 65535 |  131072 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50110 | Ornate Defiant Cloth Wristwrap       |       10 |   15360 | 65535 |    1536 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50111 | Ornate Defiant Cloth Gloves          |       10 |   15360 | 65535 |    4096 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50112 | Ornate Defiant Cloth Sandals         |       10 |   15360 | 65535 |  524288 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50113 | Ornate Defiant Cloth Cap             |       10 |   15360 | 65535 |       4 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50114 | Ornate Defiant Cloth Sleeves         |       10 |   15360 | 65535 |     128 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50115 | Ornate Defiant Cloth Pantaloons      |       10 |   15360 | 65535 |  262144 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50116 | Ornate Defiant Cloth Robe            |       10 |   15360 | 65535 |  131072 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50117 | Flawed Defiant Plate Bracer          |       10 |     151 | 65535 |    1536 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50118 | Flawed Defiant Plate Gauntlets       |       10 |     151 | 65535 |    4096 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50119 | Flawed Defiant Plate Boots           |       10 |     151 | 65535 |  524288 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50120 | Flawed Defiant Plate Helm            |       10 |     151 | 65535 |       4 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50121 | Flawed Defiant Plate Vambraces       |       10 |     151 | 65535 |     128 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50122 | Flawed Defiant Plate Greaves         |       10 |     151 | 65535 |  262144 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50123 | Flawed Defiant Breastplate           |       10 |     151 | 65535 |  131072 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50124 | Flawed Defiant Chain Bracer          |       10 |   33544 | 65535 |    1536 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50125 | Flawed Defiant Chain Gauntlets       |       10 |   33544 | 65535 |    4096 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50126 | Flawed Defiant Chain Boots           |       10 |   33544 | 65535 |  524288 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50127 | Flawed Defiant Chain Coif            |       10 |   33544 | 65535 |       4 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50128 | Flawed Defiant Chain Sleeves         |       10 |   33544 | 65535 |     128 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50129 | Flawed Defiant Chain Leggings        |       10 |   33544 | 65535 |  262144 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50130 | Flawed Defiant Chain Tunic           |       10 |   33544 | 65535 |  131072 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50131 | Flawed Defiant Leather Bracer        |       10 |   16480 | 65535 |    1536 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50132 | Flawed Defiant Leather Gloves        |       10 |   16480 | 65535 |    4096 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50133 | Flawed Defiant Leather Boots         |       10 |   16480 | 65535 |  524288 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50134 | Flawed Defiant Leather Cap           |       10 |   16480 | 65535 |       4 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50135 | Flawed Defiant Leather Sleeves       |       10 |   16480 | 65535 |     128 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50136 | Flawed Defiant Leather Trousers      |       10 |   16480 | 65535 |  262144 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50137 | Flawed Defiant Leather Tunic         |       10 |   16480 | 65535 |  131072 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50138 | Flawed Defiant Silk Wristwrap        |       10 |   15360 | 65535 |    1536 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50139 | Flawed Defiant Silk Gloves           |       10 |   15360 | 65535 |    4096 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50140 | Flawed Defiant Silk Sandals          |       10 |   15360 | 65535 |  524288 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50141 | Flawed Defiant Silk Cap              |       10 |   15360 | 65535 |       4 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50142 | Flawed Defiant Silk Sleeves          |       10 |   15360 | 65535 |     128 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50143 | Flawed Defiant Silk Pantaloons       |       10 |   15360 | 65535 |  262144 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50144 | Flawed Defiant Silk Robe             |       10 |   15360 | 65535 |  131072 |       37 |       50 |      1 |      1 |
| defiant_items_sample | 50145 | Intricate Defiant Plate Bracer       |       10 |     151 | 65535 |    1536 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50146 | Intricate Defiant Plate Wristguard   |       10 |     151 | 65535 |    1536 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50147 | Intricate Defiant Plate Wristband    |       10 |     151 | 65535 |    1536 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50148 | Intricate Defiant Plate Gauntlets    |       10 |     151 | 65535 |    4096 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50149 | Intricate Defiant Plate Boots        |       10 |     151 | 65535 |  524288 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50150 | Intricate Defiant Plate Helm         |       10 |     151 | 65535 |       4 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50151 | Intricate Defiant Plate Vambraces    |       10 |     151 | 65535 |     128 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50152 | Intricate Defiant Plate Greaves      |       10 |     151 | 65535 |  262144 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50153 | Intricate Defiant Breastplate        |       10 |     151 | 65535 |  131072 |       48 |       60 |      1 |      1 |
